drug_name,reaction_pt,a,drug_total,reaction_total,PRR,ROR,ROR_CI_low,ROR_CI_high,chi2,is_signal,is_known_literature_signal
Clozapine,Agranulocytosis,298,1015,781,11.540209487093188,15.920938116317414,13.532880354390654,18.730400614335583,1846.274886943031,True,True
Metformin,Lactic acidosis,228,991,653,10.290382857482044,13.066539202837099,10.953055158431214,15.58783775573835,1286.656593760891,True,True
Isotretinoin,Dry skin,218,969,669,9.493312647733852,11.958748276503465,10.015036673185172,14.279694124703715,1155.364531571029,True,True
Warfarin,Haemorrhage,216,969,664,9.46920610349403,11.898619806488332,9.958889477367745,14.216158701339156,1141.8232405338222,True,True
Quetiapine,Sedation,233,1010,702,9.340855833984252,11.842039114960224,9.963632707386012,14.074574456793554,1201.555693043337,True,True
Quetiapine,Weight increased,229,1010,708,8.988838132247464,11.331275945672134,9.531356907461317,13.471095018638513,1140.3920051378782,True,True
Isotretinoin,Depression,213,969,688,8.806915430992342,11.006482873851295,9.218854564886014,13.140750230924127,1053.9563904380882,True,True
Warfarin,International normalised ratio increased,204,969,667,8.653404569739683,10.6943124550036,8.933704081427486,12.80189245612113,991.6043044841391,True,True
Ciprofloxacin,Tendon rupture,317,1025,1050,8.005956144145342,11.142803739758442,9.574939063277698,12.967401083414462,1431.9120412904076,True,True
Lisinopril,Cough,212,1012,711,7.971389419154515,9.818807615230462,8.23766913844365,11.703429861607964,940.5713554444103,True,True
Ibuprofen,Gastrointestinal haemorrhage,297,1049,1003,7.59990899197131,10.206521984811042,8.750359419470456,11.905007101152355,1261.457701413349,True,True
Enalapril,Angioedema,277,1016,964,7.533851390846887,9.98294047780844,8.526503042065915,11.688156339333153,1175.2634427415885,True,True
Simvastatin,Rhabdomyolysis,268,1003,1000,6.934382644416477,9.098211962380581,7.767145025679677,10.657385775433172,1048.7345089402445,True,True
Atorvastatin,Rhabdomyolysis,268,1017,1000,6.833884079930794,8.921308557128995,7.618473326604105,10.44694165871415,1028.4193816234508,True,True
Naproxen,Gastrointestinal haemorrhage,254,988,1003,6.525634719436982,8.437775344419261,7.1880091079218555,9.904836192322694,934.3318594086307,True,True
Lisinopril,Angioedema,240,1012,964,6.219727906011835,7.842441244668366,6.664295694013677,9.228864909359057,829.5669031200307,True,True
Levofloxacin,Tendon rupture,260,1046,1050,5.963695331219594,7.605630173607756,6.498738983770195,8.901051493552066,852.9561539372398,True,True
Apixaban,Hepatotoxicity,49,1002,437,2.3944430726176513,2.466140565333564,1.8193020933300394,3.3429573407743254,36.11918742448975,True,False
Apixaban,Diarrhoea,39,1002,465,1.7357819572123359,1.7655799804016206,1.2639466948533469,2.4663007387005966,11.408825337686741,False,False
Sertraline,Bruising,37,945,468,1.73101805816423,1.7608062389484551,1.250395630878082,2.479566094566839,10.77137221049316,False,False
Sertraline,Dyspepsia,38,945,486,1.7103410808767952,1.7401017876830998,1.2412753749871261,2.4393895927640745,10.591565899922298,False,False
Levothyroxine,Anaphylactic reaction,35,912,468,1.6917872047323854,1.7193955880455363,1.210396608428598,2.44244007923032,9.379780638384748,False,False
Glipizide,Myalgia,42,1038,507,1.6499968922866555,1.6774063997927193,1.215407917071934,2.3150188430926955,10.120105292665366,False,False
Fluoxetine,Photosensitivity reaction,40,1004,507,1.6205840449764113,1.646334420286636,1.1843816788082089,2.2884658483977116,8.983589072504097,False,False
Clozapine,Myalgia,40,1015,507,1.6020928049282182,1.6267940482073244,1.1704039094558478,2.2611500644364595,8.553806668549313,False,False
Levothyroxine,Dyspepsia,34,912,486,1.5743673342648656,1.5966093494869675,1.119430882915071,2.2771941115569505,6.791069457851684,False,False
Fluoxetine,Hyperkalaemia,35,1004,458,1.5655110056228982,1.5859370997372446,1.1167728923704867,2.2522005158848115,6.7581825399761914,False,False
Apixaban,Dyspepsia,37,1002,486,1.56241192448066,1.583975905004789,1.1258217063722573,2.2285763841953643,7.092657463882275,False,False
Amoxicillin,Anaphylactic reaction,35,984,468,1.5620834037439681,1.5828135608894254,1.114774135965431,2.2473599697985382,6.706418854336085,False,False
Amoxicillin,Rash,38,984,514,1.5427683268429324,1.5645708600564963,1.1171857437252555,2.191114584022047,6.897044160325641,False,False
Omeprazole,Diarrhoea,35,1005,465,1.5384125882216824,1.557839846559578,1.097225142801768,2.211820430337352,6.243925502027477,False,False
Omeprazole,Osteoporosis,39,1005,525,1.5167065905042687,1.5375674155867392,1.1025753060832852,2.1441742295791144,6.526502822543626,False,False
Omeprazole,QT prolongation,37,1005,501,1.5071517412935325,1.526536673553719,1.0854555283328657,2.1468536986342928,5.998166230318423,False,False
Fluoxetine,Headache,37,1004,502,1.5054877265133018,1.5248290355939553,1.0842630818090575,2.1444090708235053,5.966709589899916,False,False
Levothyroxine,Renal impairment,33,912,492,1.504758628597638,1.5237086112412352,1.0634125775113306,2.183242873997281,5.344159758895746,False,False
Amoxicillin,QT prolongation,36,984,501,1.4961447678992918,1.5149857084524296,1.0726219872984823,2.1397861725693135,5.638694918450672,False,False
Levothyroxine,Diarrhoea,31,912,465,1.4949874686716793,1.5124047348791958,1.0440485085110087,2.190863799371916,4.854739228234773,False,False
Glipizide,Renal impairment,37,1038,492,1.485515255457452,1.503461373791044,1.068995620236557,2.114504549589691,5.566649941281082,False,False
Levothyroxine,Bruising,31,912,468,1.484724396804368,1.5017805333548053,1.0367993339201325,2.1752953503895474,4.6905575698304665,False,False
Levofloxacin,Headache,38,1046,502,1.4840030988329929,1.5022492474001095,1.0727493339015604,2.103709347556942,5.68721001853651,False,False
Amoxicillin,Dizziness,33,984,463,1.4830969937606353,1.4998606118406572,1.0464284247494948,2.1497713572617827,4.937108128728156,False,False
Apixaban,Osteoporosis,38,1002,525,1.4794312811748167,1.4983300246236164,1.070296078489258,2.097543761776138,5.624238384990141,False,False
Amoxicillin,Myalgia,36,984,507,1.4770855988814664,1.4952027735225348,1.0587767813149906,2.111522818976865,5.287540563993738,False,False
Fluoxetine,Rash,37,1004,514,1.4676138214437846,1.4855059738671765,1.0566234629913438,2.0884715091861885,5.250820438210685,False,False
Omeprazole,Headache,36,1005,502,1.4601242713471272,1.477218671521014,1.0460421487761415,2.0861253115311187,4.970328522418479,False,False
Apixaban,Dizziness,33,1002,463,1.4550758947221836,1.4705738354093167,1.0261021828412562,2.1075750949114123,4.465350366186437,False,False
Sertraline,Renal impairment,33,945,492,1.4497008680015218,1.4659729388831555,1.0233427320670727,2.100055621831357,4.402991267497234,False,False
Apixaban,Photosensitivity reaction,36,1002,507,1.449178076967085,1.4659176326304546,1.0381527780258881,2.0699405243062303,4.777295539065776,False,False
Amoxicillin,Headache,35,984,502,1.4483557041137862,1.4648914782381093,1.0326733842514175,2.0780113787576653,4.635443607284257,False,False
Sertraline,Pruritus,33,945,493,1.4465493443754314,1.4627073798627002,1.0210889911399734,2.095324597238279,4.351810977121574,False,False
Fluoxetine,Bruising,33,1004,468,1.435334523973073,1.450129621080294,1.0119928760747976,2.077955258035879,4.1469969200724055,False,False
Fluoxetine,Osteoporosis,37,1004,525,1.4345323623538633,1.4511587298896367,1.0324676311071979,2.0396393997133058,4.648883629267107,False,False
Amoxicillin,Insomnia,35,984,508,1.429983327317417,1.445841511148934,1.0193961786767138,2.0506822755359675,4.323259694090965,False,False
Apixaban,Hypothyroidism,33,1002,471,1.4284991660514588,1.4430920169077004,1.0071548209111658,2.0677204001056153,4.039588288058226,False,False
